fid,FIPS,ISO2,ISO3,UN,NAME,AREA,POP2005,REGION,SUBREGION,LON,LAT,country_name,continent,spatial,temporal,Proper Case
150,KT,CX,CXR,162,Christmas Island,0,0,0,0,105.704,-10.444,,,,,
96,KS,KR,KOR,410,"Korea, Republic of",9873,47869837,142,30,128.103,36.504,,,,,
203,TV,TV,TUV,798,Tuvalu,3,10441,9,61,179.219,-8.514,,,,,
94,KN,KP,PRK,408,"Korea, Democratic People's Republic of",12041,23615611,142,30,126.451,39.778,,,,,
205,TZ,TZ,TZA,834,United Republic of Tanzania,88359,38477873,2,14,34.823,-6.27,,,,,
227,NT,AN,ANT,530,Netherlands Antilles,80,186392,19,29,-68.87,12.123,,,,,
112,MK,MK,MKD,807,The former Yugoslav Republic of Macedonia,2543,2033655,150,39,21.698,41.6,,,,,
240,SV,SJ,SJM,744,Svalbard,0,0,150,154,18.374,78.83,,,,,
63,FM,FM,FSM,583,"Micronesia, Federated States of",70,110058,9,57,158.235,6.883,,,,,
209,US,US,USA,840,United States,915896,299846449,19,21,-98.606,39.622,,,,,
219,WF,WF,WLF,876,Wallis and Futuna Islands,14,15079,9,61,-178.131,-14.289,,,,,
148,HM,HM,HMD,334,Heard Island and McDonald Islands,0,0,0,0,73.507,-53.111,,,,,
245,SX,GS,SGS,239,South Georgia South Sandwich Islands,0,0,0,0,-36.891,-54.209,,,,,
168,PU,GW,GNB,624,Guinea-Bissau,2812,1596929,2,11,-14.651,12.125,,,,,
109,MB,MQ,MTQ,474,Martinique,106,395896,19,29,-61.021,14.653,,,,,
137,MC,MO,MAC,446,Macau,0,47309,142,30,113.545,22.2,,,,,
192,SY,SY,SYR,760,Syrian Arab Republic,18378,18893881,142,145,38.506,35.013,,,,,
87,IV,CI,CIV,384,Cote d'Ivoire,31800,18584701,2,11,-5.556,7.632,,,,,
58,EZ,CZ,CZE,203,Czech Republic,7727,10191762,150,151,15.338,49.743,,,,,
146,BV,BV,BVT,74,Bouvet Island,0,0,0,0,3.412,-54.422,,,,,
221,WZ,SZ,SWZ,748,Swaziland,1720,1124529,2,18,31.497,-26.562,,,,,
151,,UM,UMI,581,United States Minor Outlying Islands,0,0,0,0,-160.027,-0.385,,,,,
239,VT,VA,VAT,336,Holy See (Vatican City),0,783,150,39,12.451,41.904,,,,,
141,MF,YT,MYT,175,Mayotte,0,0,2,14,45.155,-12.777,,,,,
142,,AX,ALA,248,�land Islands,0,0,150,154,19.952,60.198,,,,,
99,LA,LA,LAO,418,Lao People's Democratic Republic,23080,566391,142,35,102.471,19.905,,,,,
229,TT,TL,TLS,626,Timor-Leste,1487,1067285,142,35,125.878,-8.822,,,,,
23,BX,BN,BRN,96,Brunei Darussalam,527,373831,142,35,114.591,4.468,,,,,
134,GI,GI,GIB,292,Gibraltar,0,291,150,39,-5.345,36.138,,,,,
197,TL,TK,TKL,772,Tokelau,1,1401,9,61,-171.853,-9.193,,,,,
170,RE,RE,REU,638,Reunion,250,785159,2,14,55.538,-21.122,,,,,
226,GP,GP,GLP,312,Guadeloupe,169,438403,19,29,-61.441,16.286,,,,,
107,LY,LY,LBY,434,Libyan Arab Jamahiriya,175954,5918217,2,15,18.023,27.044,,,,,
213,VC,VC,VCT,670,Saint Vincent and the Grenadines,39,119137,19,29,-61.194,13.248,,,,,
27,CF,CG,COG,178,Congo,34150,3609851,2,17,15.986,-0.055,,,,,
18,BM,MM,MMR,104,Burma,65755,47967266,142,35,96.041,21.718,,,,,
62,FK,FK,FLK,238,Falkland Islands (Malvinas),1217,2975,19,5,-58.694,-51.665,,,,,
84,IR,IR,IRN,364,Iran (Islamic Republic of),163620,69420607,142,34,54.301,32.565,,,,,
172,MD,MD,MDA,498,Republic of Moldova,3288,3876661,150,151,28.599,47.193,,,,,
145,AY,AQ,ATA,10,Antarctica,0,0,0,0,21.304,-80.446,,,,,
135,IM,IM,IMN,833,Isle of Man,0,78357,150,154,-4.527,54.229,,,,,
216,VM,VN,VNM,704,Viet Nam,32549,85028643,142,35,105.314,21.491,,,,,
42,CV,CV,CPV,132,Cape Verde,403,506807,2,11,-23.634,15.071,,,,,
238,RB,RS,SRB,688,Serbia,0,9863026,150,39,20.806,44.032,,,,,
28,CG,CD,COD,180,Democratic Republic of the Congo,226705,58740547,2,17,23.654,-2.876,,,,,
144,CK,CC,CCK,166,Cocos (Keeling) Islands,1,0,0,0,96.839,-12.173,,,,,
