Region,Country,V2022,V2024S1T5
North America,Belize,[2001-2021](https://scholar.colorado.edu/concern/datasets/vd66w1102),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/q524jq679) 
North America,Canada,[2001-2021](https://scholar.colorado.edu/concern/datasets/gf06g388c),[2001-2024](https://scholar.colorado.edu/concern/datasets/0p096866d) 
North America,Costa Rica,[2001-2021](https://scholar.colorado.edu/concern/datasets/vd66w1102),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/mc87pr85g) 
North America,El Salvador,[2001-2021](https://scholar.colorado.edu/concern/datasets/vd66w1102),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/m613n034n)
North America,Guatemala,[2001-2021](https://scholar.colorado.edu/concern/datasets/vd66w1102),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/nv935460v)
North America,Honduras,[2001-2021](https://scholar.colorado.edu/concern/datasets/vd66w1102),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/n296x082p)
North America,Mexico,[2001-2021](https://scholar.colorado.edu/concern/datasets/vd66w1102),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/5x21th07j)
North America,Nicaragua,[2001-2021](https://scholar.colorado.edu/concern/datasets/vd66w1102),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/rb68xd57f)
North America,Panama,[2001-2021](https://scholar.colorado.edu/concern/datasets/vd66w1102),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/6q182m92n)
North America,USA Lower48,[2001-2021](https://scholar.colorado.edu/concern/datasets/8336h304x),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/0g354g88p)
North America,USA Alaska,[2001-2021](https://scholar.colorado.edu/concern/datasets/d504rm74m),[Nov 2001- July 2024](https://scholar.colorado.edu/concern/datasets/fx719p11c)
North America,USA Hawaii,[2001-2021](https://scholar.colorado.edu/concern/datasets/7h149r06p),[Nov 2000-Dec 2024](https://scholar.colorado.edu/concern/datasets/sn00b078q)
Whole Regions,Aruba,,[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/9880vs496)
Whole Regions,Antigua and Barbuda,,[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/st74cs33x)
