country_name,REGION,SUBREGION,UN,spatial,temporal,V2022,V2024S1T5,f_file_name
Afghanistan,142,34,4,3,8,[2001-2021](https://scholar.colorado.edu/concern/datasets/47429b07v),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/rj4306237),afghanistan_s3t8
Aland,150,154,248,5,11,,[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/5138jg697),aland_s5t11
Albania,150,39,8,5,11,[2001-2021](https://scholar.colorado.edu/concern/datasets/7h149r07z),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/wp988m53f),albania_s5t11
Algeria,2,15,12,5,11,[2001-2021](https://scholar.colorado.edu/concern/datasets/8910jv77j),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/bc386k800),algeria_s5t11
American Samoa,9,61,16,3,8,,,american_samoa_s3t8
Andorra,150,39,20,5,11,,[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/xp68kh87x),andorra_s5t11
Angola,2,17,24,1,1,[2001-2021](https://scholar.colorado.edu/concern/datasets/t435gf21z),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/d504rn23b),angola_s1t1
Anguilla,19,29,660,3,8,,,anguilla_s3t8
Antigua and Barbuda,19,29,28,3,8,,[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/st74cs33x),antigua_and_barbuda_s3t8
Argentina,19,5,32,1,2,[2001-2021](https://scholar.colorado.edu/concern/datasets/5t34sk58k),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/td96k4315),argentina_s1t2
Armenia,142,145,51,3,8,[2001-2021](https://scholar.colorado.edu/concern/datasets/gf06g385j),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/7h149r64k),armenia_s3t8
Aruba,19,29,533,3,8,,[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/9880vs496),aruba_s3t8
Ashmore and Cartier Islands,9,53,36,3,8,,,ashmore_and_cartier_islands_s3t8
Australia,9,53,36,3,8,,[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/x059c9152),australia_s3t8
Austria,150,155,40,5,11,[2001-2021](https://scholar.colorado.edu/concern/datasets/v692t736f),,austria_s5t11
Azerbaijan,142,145,31,3,8,[2001-2021](https://scholar.colorado.edu/concern/datasets/gf06g385j),[Nov 2000-July 2024](https://scholar.colorado.edu/concern/datasets/qb98mg90m),azerbaijan_s3t8
