UN,country_name,continent,spatial,temporal
aland_island,aland,Europe,5,11
albania,albania,Europe,5,11
algeria,algeria,Africa,5,11
andorra,andorra,Europe,5,11
austria,austria,Europe,5,11
belarus,belarus,Europe,5,11
belgium,belgium,Europe,5,11
bosnia_and_herzegovina,bosnia_and_herzegovina,Europe,5,11
bulgaria,bulgaria,Europe,5,11
canada,canada,North America,5,11
croatia,croatia,Europe,5,11
czechia,czechia,Europe,5,11
denmark,denmark,Europe,5,11
djibouti,djibouti,Africa,5,11
egypt,egypt,Africa,5,11
estonia,estonia,Europe,5,11
faroe_islands,faroe_islands,Europe,5,11
finland,finland,Europe,5,11
france,france,Europe,5,11
germany,germany,Europe,5,11
greece,greece,Europe,5,11
guernsey,guernsey,Europe,5,11
hong_kong,hong_kong,Asia,5,11
hungary,hungary,Europe,5,11
iceland,iceland,Europe,5,11
ireland,ireland,Europe,5,11
isle_of_man,isle_of_man,Europe,5,11
italy,italy,Europe,5,11
jersey,jersey,Europe,5,11
jordan,jordan,Asia,5,11
kosovo,kosovo,Europe,5,11
kuwait,kuwait,Asia,5,11
latvia,latvia,Europe,5,11
lebanon,lebanon,Asia,5,11
libya,libya,Africa,5,11
liechtenstein,liechtenstein,Europe,5,11
lithuania,lithuania,Europe,5,11
luxembourg,luxembourg,Europe,5,11
macedonia,macedonia,Europe,5,11
malta,malta,Europe,5,11
mauritania,mauritania,Africa,5,11
moldova,moldova,Europe,5,11
monaco,monaco,Europe,5,11
mongolia,mongolia,Asia,5,11
montenegro,montenegro,Europe,5,11
morocco,morocco,Africa,5,11
netherlands,netherlands,Europe,5,11
northern_cyprus,northern_cyprus,europe,5,11
norway,norway,Europe,5,11
oman,oman,Asia,5,11
palestine,palestine,Asia,5,11
poland,poland,Europe,5,11
portugal,portugal,Europe,5,11
qatar,qatar,Asia,5,11
republic_of_serbia,republic_of_serbia,Europe,5,11
romania,romania,Europe,5,11
russia,russia,Europe,5,11
saudi_arabia,saudi_arabia,Asia,5,11
slovakia,slovakia,Europe,5,11
slovenia,slovenia,Europe,5,11
somalia,somalia,Africa,5,11
somaliland,somaliland,Africa,5,11
spain,spain,Europe,5,11
sweden,sweden,Europe,5,11
switzerland,switzerland,Europe,5,11
syria,syria,Asia,5,11
tunisia,tunisia,Africa,5,11
ukraine,ukraine,Europe,5,11
united_arab_emirates,united_arab_emirates,Asia,5,11
united_kingdom,united_kingdom,Europe,5,11
usa_alaska,usa_alaska,North America,5,11
usa_lower48,usa_lower48,North America,5,11
vatican,vatican,Europe,5,11
western_sahara,western_sahara,Africa,5,11
yemen,yemen,Asia,5,11
afghanistan,afghanistan,Asia,3,8
american_samoa,american_samoa,Oceania,3,8
anguilla,anguilla,North America,3,8
antigua_and_barbuda,antigua_and_barbuda,Carribean,3,8
armenia,armenia,Asia,3,8
aruba,aruba,North America,3,8
ashmore_and_cartier_islands,ashmore_and_cartier_islands,Oceania,3,8
